所有的模块，模糊搜索，包含关系就屏蔽	过滤词汇	
Id	Word	Desc
1	毛泽东	
2	江泽民	
3	江澤民	
4	胡锦涛	
5	胡錦濤	
6	炮打中宣部	
7	焦国标	
8	焦國標	
9	六四	
10	天安门事件	
11	天安門事件	
12	北京之春	
13	八九风波	
14	八九風波	
15	八九事件	
16	八九运动	
17	八九運動	
18	新闻管制	
19	新聞管制	
20	舆论钳制	
21	輿論鉗制	
22	动态网	
23	動態網	
24	自由之门	
25	自由之門	
26	大纪元	
27	大紀元	
28	人民报	
29	人民報	
30	博讯新闻	
31	博訊新聞	
32	明慧网	
33	明慧網	
34	燕玲论坛	
35	燕玲論壇	
36	希望之声	
37	希望之聲	
38	新唐人	
39	宗教迫害	
40	全球公审	
41	全球公審	
42	真善忍	
43	法輪	
44	轮子功	
45	輪子功	
46	洗脑班	
47	洗腦班	
48	610办公室	
49	610辦公室	
50	鸡巴	
51	雞巴	
52	肉缝	
53	肉縫	
54	肉棒	
55	淫水	
56	肉壁	
57	肉棍	
58	八九学潮	
59	八九學潮	
60	“冰点”周刊	
61	“冰點”週刊	
62	天安门	
63	天安門	
64	共产党	
65	共產黨	
66	帐号	
67	帳號	
68	法轮	
69	法轮功	
70	法輪功	
71	张朝阳	
72	張朝陽	
73	GM	
88	GM邮件	
89	GM郵件	
90	隊伍	
91	中国	
92	中國	
93	习近平	
94	習近平	
95	李克强	
96	李克強	
97	刘延东	
98	劉延東	
99	杨洁篪	
100	楊潔篪	
101	乌云其木格	
102	烏雲其木格	
103	廖晖	
104	廖暉	
105	梁光烈	
106	張平	
107	韩启德	
108	韓啟德	
109	杜青林	
110	马凯	
111	馬凱	
112	周济	
113	周濟	
114	阿沛·阿旺晋美	
115	阿沛·阿旺晉美	
116	汪歧山	
117	孟建柱	
118	万钢	
119	萬鋼	
120	王岐山	
121	帕巴拉·格列朗杰	
122	帕巴拉·格列朗傑	
123	戴秉国	
124	戴秉國	
125	李毅中	
126	周铁农	
127	周鐵農	
128	马万祺	
129	馬萬祺	
130	杨晶	
131	楊晶	
132	李建国	
133	李建國	
134	白立忱	
135	耿惠昌	
136	司马义·铁力瓦尔地	
137	司馬義·鐵力瓦爾地	
138	陈奎元	
139	陳奎元	
140	马馼	
141	馬馼	
142	蒋树声	
143	蔣樹聲	
144	阿不来提·阿不都热西提	
145	阿不來提·阿不都熱西提	
146	李学举	
147	李學舉	
148	陈昌智	
149	陳昌智	
150	李兆焯	
151	吴爱英	
152	吳愛英	
153	严隽琪	
154	嚴雋琪	
155	黄孟复	
156	黃孟複	
157	谢旭人	
158	謝旭人	
159	曹建明	
160	刘志军	
161	劉志軍	
162	孙家正	
163	孫家正	
164	厉无畏	
165	厲無畏	
166	陈竺	
167	陳竺	
168	罗富和	
169	羅富和	
170	陈宗兴	
171	陳宗興	
172	周小川	
173	刘家义	
174	劉家義	
175	汪洋	
176	张榕明	
177	張榕明	
178	姜伟新	
179	薑偉新	
180	张梅颖	
181	張梅穎	
182	徐绍史	
183	徐紹史	
184	李源潮	
185	桑国卫	
186	桑國衛	
187	董建华	
188	董建華	
189	尹蔚民	
190	郑万通	
191	鄭萬通	
192	孙政才	
193	孫政才	
194	邓朴方	
195	鄧朴方	
196	周生贤	
197	周生賢	
198	陈德铭	
199	陳德銘	
200	徐才厚	
201	林文漪	
202	蔡武	
217	fuck	
218	日本	
219	小泉	
220	外挂	
221	外掛	
223	http	
224	http:	
225	http://	
226	www.	
227	.com	
228	.net	
229	.org	
230	.int	
231	.edu	
232	.gov	
233	.mil	
234	.arpa	
235	.biz	
236	.info	
237	.name	
238	.pro	
239	.coop	
240	.aero	
241	.museum	
242	.tv	
243	.ad	
244	.ae	
245	.af	
246	.ag	
247	.ai	
248	.al	
249	.am	
250	.an	
251	.ao	
252	.aq	
253	.ar	
254	.as	
255	.at	
256	.au	
257	.aw	
258	.az	
259	.ba	
260	.bb	
261	.bd	
262	.be	
263	.bf	
264	.bg	
265	.bh	
266	.bi	
267	.bj	
268	.bm	
269	.bn	
270	.bo	
271	.br	
272	.bs	
273	.bv	
274	.bw	
275	.by	
276	.bz	
277	.ca	
278	.cc	
279	.cf	
280	.cg	
281	.ch	
282	.ci	
283	.ck	
284	.cl	
285	.cm	
286	.cn	
287	.co	
288	.cq	
289	.cr	
290	.cu	
291	.cv	
292	.cx	
293	.cy	
294	.cz	
295	.de	
296	.dj	
297	.dk	
298	.dm	
299	.do	
300	.dz	
301	.ec	
302	.ee	
303	.eg	
304	.eh	
305	.es	
306	.et	
307	.ev	
308	.fi	
309	.fj	
310	.fk	
311	.fm	
312	.fo	
313	.fr	
314	.ga	
315	.gb	
316	.gd	
317	.ge	
318	.gf	
319	.gh	
320	.gi	
321	.gl	
322	.gm	
323	.gn	
324	.gp	
325	.gr	
326	.gt	
327	.gu	
328	.gw	
329	.gy	
330	.hk	
331	.hm	
332	.hn	
333	.hr	
334	.ht	
335	.hu	
336	.id	
337	.ie	
338	.il	
339	.in	
340	.io	
341	.iq	
342	.ir	
343	.is	
344	.it	
345	.jm	
346	.jo	
347	.jp	
348	.ke	
349	.kg	
350	.kh	
351	.ki	
352	.km	
353	.kn	
354	.kp	
355	.kr	
356	.kw	
357	.ky	
358	.kz	
359	.la	
360	.lb	
361	.lc	
362	.li	
363	.lk	
364	.lr	
365	.ls	
366	.lt	
367	.lu	
368	.lv	
369	.ly	
370	.ma	
371	.mc	
372	.md	
373	.mg	
374	.mh	
375	.ml	
376	.mm	
377	.mn	
378	.mo	
379	.mp	
380	.mq	
381	.mr	
382	.ms	
383	.mt	
384	.mv	
385	.mw	
386	.mx	
387	.my	
388	.mz	
389	.na	
390	.nc	
391	.ne	
392	.nf	
393	.ng	
394	.ni	
395	.nl	
396	.no	
397	.np	
398	.nr	
399	.nt	
400	.nu	
401	.nz	
