{17ce1527-dd65-4d9f-a2b0-102f787c227b}	gid=10	片头视频	
{5a8efd51-d520-4d16-a139-5dc3252523c2}	gid=110	关卡0.1 到达指定区域	
{bb2570ee-5586-4f26-b21a-4f38156a3155}	gid=111	关卡0.1 到达指定区域	
{bbb63113-e900-42a0-9c6e-8389c43b3f5b}	gid=112	完成教学关卡1	
{df9e78f5-650e-4ea3-8256-3a7fb40df92c}	gid=120	关卡0.2 出现第一波敌人	
{ccf93c39-b7b9-4756-a3bd-8dffb9e42d2b}	gid=121	关卡0.2 出现第一波敌人	
{ecbab7b4-4166-4eae-bb3b-31d492e47815}	gid=122	关卡0.2 出现第二波敌人	
{c23e0a1a-e7d6-45bd-886c-cdcef344a09e}	gid=123	关卡0.2 出现第二波敌人	
{4fd82bb1-7de2-41ab-98e3-f9fce1a56180}	gid=124	关卡0.2 出现第二波敌人	
{f827c96a-862c-403d-a493-e1cc9affc493}	gid=125	完成教学关卡2	
{51b69ad2-0a3e-40d6-93e5-bbd86c69b788}	gid=130	关卡0.3 出现第一波敌人	
{df65fd6b-82db-47d3-a0f7-cc0b72d8ba30}	gid=131	关卡0.3 出现第一波敌人	
{a06f15c7-e0c3-4d6f-b4a3-a6d19a0e5c34}	gid=132	关卡0.3 清空第一波敌人	
{779e5583-366f-4eea-bd97-75c066ab58a6}	gid=133	完成教学关卡3	
{82f8a166-e0f7-4ae5-89d0-00caaa5ab6a2}	gid=140	关卡0.4 主动技能	
{75c68899-499a-4926-af10-e03231ace715}	gid=141	关卡0.4 主动技能	
{b2b4b679-879c-4684-a2d3-95487eac9d66}	gid=142	完成教学关卡4	
{f571d950-6649-47b7-b8db-f4471250db7e}	gid=150	关卡0.5 弹跳技能	
{fbc9c851-6286-477e-b964-3710e9e99562}	gid=151	关卡0.5 弹跳技能	
{99424ae9-2576-483b-b285-ed332602d81e}	gid=152	关卡0.5 弹跳技能	
{92d2259a-5419-477b-9ba8-d89c67d898cf}	gid=153	完成教学关卡5	
{7f253e54-afb3-4884-b089-38aa70aca621}	gid=200	完成全部教学关卡	
{1e912553-04a8-40a8-a186-3f969fb64777}	gid=210	第一次进入方舟	
{59995405-6d5e-4b79-9be9-3f62467ceb55}	gid=220	强制出战教学	
{c44a73d6-d579-4831-9b54-9bd5b5a158e5}	gid=221	出战教学	
{8f042056-9a92-4f9f-b37a-5aa83100abc7}	gid=230	解锁玉米田	
